date,value
2008-01-02,4.080198074303696
2008-01-03,5.272654421110996
2008-01-04,4.347020481775338
2008-01-07,4.897749360259433
2008-01-08,5.455932377923118
2008-01-09,4.140766563991944
2008-01-10,5.159860635493025
2008-01-11,4.552346173444103
2008-01-14,4.239859206329406
2008-01-15,4.468669286715991
2008-01-16,4.899751813914906
2008-01-17,5.345971835219558
2008-01-18,3.7970313104519837
2008-01-21,4.13856666369869
2008-01-22,4.917465351509828
2008-01-23,4.726563926081973
2008-01-24,4.827130199504906
2008-01-25,4.202327151639838
2008-01-28,3.751353497124865
2008-01-29,2.6610045098371877
2008-01-30,2.93557141747622
2008-01-31,2.4018309479029374
2008-02-01,3.053509857970489
2008-02-04,3.1619208891059722
2008-02-05,2.6904026051348664
2008-02-13,1.8859106219150015
2008-02-14,1.8191600381233706
2008-02-15,2.1359937545675574
2008-02-18,2.9328376722303373
2008-02-19,3.201391145115015
2008-02-20,3.51990828596732
2008-02-21,3.2448774195582604
2008-02-22,3.5119313111793495
2008-02-25,2.9913145976277926
2008-02-26,2.8787755196460987
2008-02-27,2.607564481252944
2008-02-28,2.5071704276721527
2008-02-29,2.5144091417263503
2008-03-03,4.967241972433071
2008-03-04,5.562521996423638
2008-03-05,4.842119463039544
2008-03-06,5.551660850691528
2008-03-07,3.720587016644624
2008-03-10,4.006265105110413
2008-03-11,3.2185287514208136
2008-03-12,3.53177437244129
2008-03-13,3.9884127842276755
2008-03-14,2.6135201579758185
2008-03-17,3.1602274862015003
2008-03-18,3.6758296755303186
2008-03-19,4.00929353275029
2008-03-20,4.700713766100088
2008-03-21,4.156337440584677
2008-03-24,3.780035584155397
2008-03-25,3.3716656189974525
2008-03-26,2.9688772398889998
2008-03-27,3.4465538323395912
2008-03-28,3.992458982383371
2008-03-31,3.0071953582080693
2008-04-01,3.349001884540421
2008-04-02,3.8056709257349555
2008-04-03,3.026442399349828
2008-04-07,3.6364324357398767
2008-04-08,3.9427745263414216
2008-04-09,3.6822712168969707
2008-04-10,2.86145617553802
2008-04-11,2.6808965758805883
2008-04-14,3.0836324844403142
2008-04-15,2.7540654417327364
2008-04-16,2.4453128568113494
2008-04-17,2.76649559437947
2008-04-18,2.6169901335828016
2008-04-21,3.6533586148263684
