date,value
2015-04-01,4975300.0
2015-04-02,4975300.0
2015-04-03,4975300.0
2015-04-04,4975300.0
2015-04-05,4975300.0
2015-04-06,4975300.0
2015-04-07,4975300.0
2015-04-08,4975300.0
2015-04-09,4975300.0
2015-04-10,4975300.0
2015-04-11,4975300.0
2015-04-12,4975300.0
2015-04-13,4975300.0
2015-04-14,4975300.0
2015-04-15,4975300.0
2015-04-16,4975300.0
2015-04-17,4975300.0
2015-04-18,4975300.0
2015-04-19,4975300.0
2015-04-20,4975300.0
2015-04-21,4975300.0
2015-04-22,4975300.0
2015-04-23,4975300.0
2015-04-24,4975300.0
2015-04-25,4975300.0
2015-04-26,4975300.0
2015-04-27,4975300.0
2015-04-28,4975300.0
2015-04-29,4975300.0
2015-04-30,4975300.0
2015-05-01,4158700.0
2015-05-02,4158700.0
2015-05-03,4158700.0
2015-05-04,4158700.0
2015-05-05,4158700.0
2015-05-06,4158700.0
2015-05-07,4158700.0
2015-05-08,4158700.0
2015-05-09,4158700.0
2015-05-10,4158700.0
2015-05-11,4158700.0
2015-05-12,4158700.0
2015-05-13,4158700.0
2015-05-14,4158700.0
2015-05-15,4158700.0
2015-05-16,4158700.0
2015-05-17,4158700.0
2015-05-18,4158700.0
2015-05-19,4158700.0
2015-05-20,4158700.0
2015-05-21,4158700.0
2015-05-22,4158700.0
2015-05-23,4158700.0
2015-05-24,4158700.0
2015-05-25,4158700.0
2015-05-26,4158700.0
2015-05-27,4158700.0
2015-05-28,4158700.0
2015-05-29,4158700.0
2015-05-30,4158700.0
2015-05-31,4158700.0
2015-06-01,4642200.0
2015-06-02,4642200.0
2015-06-03,4642200.0
2015-06-04,4642200.0
2015-06-05,4642200.0
2015-06-06,4642200.0
2015-06-07,4642200.0
2015-06-08,4642200.0
2015-06-09,4642200.0
2015-06-10,4642200.0
2015-06-11,4642200.0
2015-06-12,4642200.0
2015-06-13,4642200.0
2015-06-14,4642200.0
2015-06-15,4642200.0
2015-06-16,4642200.0
2015-06-17,4642200.0
2015-06-18,4642200.0
2015-06-19,4642200.0
2015-06-20,4642200.0
2015-06-21,4642200.0
2015-06-22,4642200.0
2015-06-23,4642200.0
2015-06-24,4642200.0
2015-06-25,4642200.0
2015-06-26,4642200.0
2015-06-27,4642200.0
2015-06-28,4642200.0
2015-06-29,4642200.0
2015-06-30,4642200.0
