date,value
2002-01-04,-0.007562143277723258
2002-01-07,-0.007469143277723255
2002-01-08,-0.010691143277723258
2002-01-09,-0.011362143277723256
2002-01-10,-0.011250143277723255
2002-01-11,-0.009998143277723259
2002-01-14,-0.010580143277723258
2002-01-15,-0.010489143277723257
2002-01-16,-0.009880143277723259
2002-01-17,-0.009977143277723258
2002-01-18,-0.008434143277723263
2002-01-21,-0.00802914327772326
2002-01-22,-0.008648143277723262
2002-01-23,-0.00736314327772326
2002-01-24,-0.008047143277723257
2002-01-25,-0.006261143277723258
2002-01-28,-0.007050143277723259
2002-01-29,-0.01356614327772326
2002-01-30,-0.007618143277723258
2002-01-31,-0.004736096074663739
2002-02-01,-0.004566096074663743
2002-02-04,-0.00473009607466374
2002-02-05,-0.0044430960746637375
2002-02-06,-0.0044470960746637415
2002-02-07,-0.005041096074663739
2002-02-08,-0.004635096074663742
2002-02-09,-0.004498096074663737
2002-02-10,-0.004634096074663741
2002-02-11,-0.00472309607466374
2002-02-19,-0.004229096074663739
2002-02-20,-0.004197096074663741
2002-02-21,-0.00413309607466374
2002-02-22,-0.004787096074663742
2002-02-25,-0.004166096074663738
2002-02-26,-0.004062096074663738
2002-02-27,-0.004031096074663742
2002-02-28,-0.004626982919669072
2002-03-01,-0.004466982919669068
2002-03-04,-0.0041399829196690704
2002-03-05,-0.004161982919669068
2002-03-06,-0.004175982919669068
2002-03-07,-0.004151982919669069
2002-03-08,-0.0039679829196690684
2002-03-11,-0.00404198291966907
2002-03-12,-0.0033559829196690705
2002-03-13,-0.0031839829196690685
2002-03-14,-0.003109982919669071
2002-03-15,-0.0034999829196690722
2002-03-18,-0.003543982919669071
2002-03-19,-0.0027539829196690686
2002-03-20,-0.00332098291966907
2002-03-21,-0.0028199829196690687
2002-03-22,-0.0027799829196690704
2002-03-25,-0.0024779829196690667
2002-03-26,-0.002363982919669067
2002-03-27,-0.004025982919669071
2002-03-28,-0.0038479829196690664
2002-03-29,-0.0038291211372064315
2002-04-01,-0.002711121137206427
2002-04-02,-0.0023261211372064307
2002-04-03,-0.004457121137206428
2002-04-04,-0.002601121137206428
2002-04-05,-0.007977121137206427
2002-04-08,-0.002624121137206427
2002-04-09,-0.003260121137206428
2002-04-10,-0.0024361211372064297
2002-04-11,-0.0020151211372064284
2002-04-12,-0.0020141211372064274
2002-04-15,-0.0016521211372064262
2002-04-16,-0.0009311211372064303
2002-04-17,-0.0014591211372064275
2002-04-18,-0.0005531211372064269
2002-04-19,-0.001078121137206428
2002-04-22,-0.0011431211372064272
2002-04-23,-0.0009151211372064282
2002-04-24,-0.0013281211372064283
2002-04-25,-0.0007561211372064287
2002-04-26,0.004946878862793571
2002-04-27,-0.0015821211372064256
2002-04-28,-0.01046412113720643
2002-04-29,-0.0006411211372064317
2002-04-30,-0.0037544542747766953
2002-05-08,-0.004095454274776696
2002-05-09,-0.003924454274776695
2002-05-10,-0.0037044542747766904
2002-05-13,-0.0038044542747766932
2002-05-14,-0.004179454274776694
2002-05-15,-0.003767454274776691
2002-05-16,-0.0036914542747766912
2002-05-17,-0.004155454274776694
2002-05-20,-0.0035694542747766907
2002-05-21,-0.0036934542747766932
2002-05-22,-0.004208454274776695
2002-05-23,-0.004279454274776693
2002-05-24,-0.003715454274776691
2002-05-27,-0.003194454274776694
2002-05-28,-0.0029104542747766943
2002-05-29,-0.0029314542747766945
2002-05-30,-0.00265645427477669
2002-05-31,-0.0006939574664817337
2002-06-03,-0.0002369574664817381
2002-06-04,-0.004268957466481739
2002-06-05,-0.004911957466481737
2002-06-06,-0.0008999574664817385
2002-06-07,-0.003669957466481733
2002-06-10,-0.0012599574664817377
2002-06-11,-0.0017149574664817348
2002-06-12,-0.0012229574664817354
2002-06-13,-0.001224957466481734
2002-06-14,-0.001447957466481735
2002-06-17,-0.001350957466481735
2002-06-18,-0.0006249574664817341
2002-06-19,-0.0017019574664817322
2002-06-20,-0.0014009574664817365
2002-06-21,-0.0014899574664817353
2002-06-24,-0.0018199574664817357
2002-06-25,-0.003964957466481737
2002-06-26,-0.003865957466481735
2002-06-27,-0.002795957466481737
2002-06-28,-0.005418949663745672
2002-07-01,-0.00533994966374567
2002-07-02,-0.00487894966374567
2002-07-03,-0.005872949663745672
2002-07-04,-0.0048169496637456705
2002-07-05,-0.005713949663745672
2002-07-08,-0.0048849496637456725
2002-07-09,-0.00477494966374567
2002-07-10,-0.005561949663745673
2002-07-11,-0.0053279496637456715
2002-07-12,-0.0051569496637456705
2002-07-15,-0.008016949663745668
2002-07-16,-0.006642949663745672
2002-07-17,-0.0071749496637456694
2002-07-18,-0.0071849496637456725
2002-07-19,-0.008932949663745672
2002-07-22,-0.009311949663745673
2002-07-23,-0.00837894966374567
2002-07-24,-0.00940594966374567
2002-07-25,-0.007436949663745671
2002-07-26,-0.00855194966374567
2002-07-29,-0.007582949663745668
2002-07-30,-0.007735949663745672
2002-07-31,-0.007503559322033903
2002-08-01,-0.008618559322033901
2002-08-02,-0.0091005593220339
2002-08-05,-0.008867559322033897
2002-08-06,-0.0082285593220339
2002-08-07,-0.008713559322033902
2002-08-08,-0.0075665593220339
2002-08-09,-0.010554559322033898
2002-08-12,-0.0096175593220339
2002-08-13,-0.008550559322033899
2002-08-14,-0.008851559322033898
2002-08-15,-0.0086935593220339
2002-08-16,-0.0122645593220339
2002-08-19,-0.012224559322033896
2002-08-20,-0.012709559322033902
2002-08-21,-0.0128045593220339
